Package,Class,Method,Parameters,CC
org.apache.commons.collections4.bag,SynchronizedBag,synchronizedBag,[final Bag<E> bag],1
org.apache.commons.collections4.bag,SynchronizedBag,add,[final E object, final int count],1
org.apache.commons.collections4.bag,SynchronizedBag,equals,[final Object object],2
org.apache.commons.collections4.bag,SynchronizedBag,getBag,[],1
org.apache.commons.collections4.bag,SynchronizedBag,getCount,[final Object object],1
org.apache.commons.collections4.bag,SynchronizedBag,hashCode,[],1
org.apache.commons.collections4.bag,SynchronizedBag,remove,[final Object object, final int count],1
org.apache.commons.collections4.bag,SynchronizedBag,uniqueSet,[],1
org.apache.commons.collections4.bag,SynchronizedSortedBag,synchronizedSortedBag,[final SortedBag<E> bag],1
org.apache.commons.collections4.bag,SynchronizedSortedBag,comparator,[],1
org.apache.commons.collections4.bag,SynchronizedSortedBag,first,[],1
org.apache.commons.collections4.bag,SynchronizedSortedBag,getSortedBag,[],1
org.apache.commons.collections4.bag,SynchronizedSortedBag,last,[],1
org.apache.commons.collections4.bag,TransformedBag,transformedBag,[final Bag<E> bag, final Transformer<? super E, ? extends E> transformer],2
org.apache.commons.collections4.bag,TransformedBag,transformingBag,[final Bag<E> bag, final Transformer<? super E, ? extends E> transformer],1
org.apache.commons.collections4.bag,TransformedBag,add,[final E object, final int nCopies],1
org.apache.commons.collections4.bag,TransformedBag,equals,[final Object object],1
org.apache.commons.collections4.bag,TransformedBag,getBag,[],1
org.apache.commons.collections4.bag,TransformedBag,getCount,[final Object object],1
org.apache.commons.collections4.bag,TransformedBag,hashCode,[],1
org.apache.commons.collections4.bag,TransformedBag,remove,[final Object object, final int nCopies],1
org.apache.commons.collections4.bag,TransformedBag,uniqueSet,[],1
org.apache.commons.collections4.bag,TransformedSortedBag,transformedSortedBag,[final SortedBag<E> bag, final Transformer<? super E, ? extends E> transformer],2
org.apache.commons.collections4.bag,TransformedSortedBag,transformingSortedBag,[final SortedBag<E> bag, final Transformer<? super E, ? extends E> transformer],1
org.apache.commons.collections4.bag,TransformedSortedBag,comparator,[],1
org.apache.commons.collections4.bag,TransformedSortedBag,first,[],1
org.apache.commons.collections4.bag,TransformedSortedBag,getSortedBag,[],1
org.apache.commons.collections4.bag,TransformedSortedBag,last,[],1
org.apache.commons.collections4.bag,TreeBag,add,[final E object],2
org.apache.commons.collections4.bag,TreeBag,comparator,[],1
org.apache.commons.collections4.bag,TreeBag,first,[],1
org.apache.commons.collections4.bag,TreeBag,getMap,[],1
org.apache.commons.collections4.bag,TreeBag,last,[],1
org.apache.commons.collections4.bag,TreeBag,readObject,[final ObjectInputStream in],1
org.apache.commons.collections4.bag,TreeBag,writeObject,[final ObjectOutputStream out],1
org.apache.commons.collections4.bag,UnmodifiableBag,unmodifiableBag,[final Bag<? extends E> bag],2
org.apache.commons.collections4.bag,UnmodifiableBag,add,[final E object],1
org.apache.commons.collections4.bag,UnmodifiableBag,add,[final E object, final int count],1
org.apache.commons.collections4.bag,UnmodifiableBag,addAll,[final Collection<? extends E> coll],1
org.apache.commons.collections4.bag,UnmodifiableBag,clear,[],1
org.apache.commons.collections4.bag,UnmodifiableBag,iterator,[],1
org.apache.commons.collections4.bag,UnmodifiableBag,readObject,[final ObjectInputStream in],1
org.apache.commons.collections4.bag,UnmodifiableBag,remove,[final Object object],1
org.apache.commons.collections4.bag,UnmodifiableBag,remove,[final Object object, final int count],1
org.apache.commons.collections4.bag,UnmodifiableBag,removeAll,[final Collection<?> coll],1
org.apache.commons.collections4.bag,UnmodifiableBag,removeIf,[final Predicate<? super E> filter],1
org.apache.commons.collections4.bag,UnmodifiableBag,retainAll,[final Collection<?> coll],1
org.apache.commons.collections4.bag,UnmodifiableBag,uniqueSet,[],1
org.apache.commons.collections4.bag,UnmodifiableBag,writeObject,[final ObjectOutputStream out],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,unmodifiableSortedBag,[final SortedBag<E> bag],2
org.apache.commons.collections4.bag,UnmodifiableSortedBag,add,[final E object],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,add,[final E object, final int count],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,addAll,[final Collection<? extends E> coll],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,clear,[],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,iterator,[],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,readObject,[final ObjectInputStream in],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,remove,[final Object object],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,remove,[final Object object, final int count],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,removeAll,[final Collection<?> coll],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,removeIf,[final Predicate<? super E> filter],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,retainAll,[final Collection<?> coll],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,uniqueSet,[],1
org.apache.commons.collections4.bag,UnmodifiableSortedBag,writeObject,[final ObjectOutputStream out],1
org.apache.commons.collections4,Bag,add,[E object],1
org.apache.commons.collections4,Bag,add,[E object, int nCopies],1
org.apache.commons.collections4,Bag,containsAll,[Collection<?> coll],1
org.apache.commons.collections4,Bag,getCount,[Object object],1
org.apache.commons.collections4,Bag,iterator,[],1
org.apache.commons.collections4,Bag,remove,[Object object],1
org.apache.commons.collections4,Bag,remove,[Object object, int nCopies],1
org.apache.commons.collections4,Bag,removeAll,[Collection<?> coll],1
org.apache.commons.collections4,Bag,retainAll,[Collection<?> coll],1
org.apache.commons.collections4,Bag,size,[],1
org.apache.commons.collections4,Bag,uniqueSet,[],1
org.apache.commons.collections4,BagUtils,collectionBag,[final Bag<E> bag],1
org.apache.commons.collections4,BagUtils,emptyBag,[],1
org.apache.commons.collections4,BagUtils,emptySortedBag,[],1
org.apache.commons.collections4,BagUtils,predicatedBag,[final Bag<E> bag, final Predicate<? super E> predicate],1
org.apache.commons.collections4,BagUtils,predicatedSortedBag,[final SortedBag<E> bag, final Predicate<? super E> predicate],1
org.apache.commons.collections4,BagUtils,synchronizedBag,[final Bag<E> bag],1
org.apache.commons.collections4,BagUtils,synchronizedSortedBag,[final SortedBag<E> bag],1
org.apache.commons.collections4,BagUtils,transformingBag,[final Bag<E> bag, final Transformer<? super E, ? extends E> transformer],1
org.apache.commons.collections4,BagUtils,transformingSortedBag,[final SortedBag<E> bag, final Transformer<? super E, ? extends E> transformer],1
org.apache.commons.collections4,BagUtils,unmodifiableBag,[final Bag<? extends E> bag],1
org.apache.commons.collections4,BagUtils,unmodifiableSortedBag,[final SortedBag<E> bag],1
org.apache.commons.collections4.bidimap,AbstractBidiMapDecorator,decorated,[],1
org.apache.commons.collections4.bidimap,AbstractBidiMapDecorator,getKey,[final Object value],1
org.apache.commons.collections4.bidimap,AbstractBidiMapDecorator,inverseBidiMap,[],1
org.apache.commons.collections4.bidimap,AbstractBidiMapDecorator,mapIterator,[],1
org.apache.commons.collections4.bidimap,AbstractBidiMapDecorator,removeValue,[final Object value],1
org.apache.commons.collections4.bidimap,AbstractBidiMapDecorator,values,[],1
org.apache.commons.collections4.bidimap,BidiMapIterator,getKey,[],2
org.apache.commons.collections4.bidimap,BidiMapIterator,getValue,[],2
org.apache.commons.collections4.bidimap,BidiMapIterator,hasNext,[],1
org.apache.commons.collections4.bidimap,BidiMapIterator,next,[],1
org.apache.commons.collections4.bidimap,BidiMapIterator,remove,[],2
org.apache.commons.collections4.bidimap,BidiMapIterator,reset,[],1
org.apache.commons.collections4.bidimap,BidiMapIterator,setValue,[final V value],3
org.apache.commons.collections4.bidimap,BidiMapIterator,toString,[],2
org.apache.commons.collections4.bidimap,EntrySet,iterator,[],1
org.apache.commons.collections4.bidimap,EntrySet,remove,[final Object obj],4
org.apache.commons.collections4.bidimap,EntrySetIterator,next,[],1
org.apache.commons.collections4.bidimap,EntrySetIterator,remove,[],2
org.apache.commons.collections4.bidimap,KeySet,contains,[final Object key],1
org.apache.commons.collections4.bidimap,KeySet,iterator,[],1
org.apache.commons.collections4.bidimap,KeySet,remove,[final Object key],2
org.apache.commons.collections4.bidimap,KeySetIterator,next,[],1
org.apache.commons.collections4.bidimap,KeySetIterator,remove,[],2
org.apache.commons.collections4.bidimap,MapEntry,setValue,[final V value],2
org.apache.commons.collections4.bidimap,Values,contains,[final Object value],1
org.apache.commons.collections4.bidimap,Values,iterator,[],1
org.apache.commons.collections4.bidimap,Values,remove,[final Object value],2
org.apache.commons.collections4.bidimap,ValuesIterator,next,[],1
org.apache.commons.collections4.bidimap,ValuesIterator,remove,[],2
org.apache.commons.collections4.bidimap,View,clear,[],1
org.apache.commons.collections4.bidimap,View,equals,[final Object object],1
org.apache.commons.collections4.bidimap,View,hashCode,[],1
org.apache.commons.collections4.bidimap,View,removeAll,[final Collection<?> coll],2
org.apache.commons.collections4.bidimap,View,removeIf,[final Predicate<? super E> filter],4
org.apache.commons.collections4.bidimap,View,retainAll,[final Collection<?> coll],5
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,clear,[],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,containsKey,[final Object key],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,containsValue,[final Object value],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,createBidiMap,[Map<V, K> normalMap, Map<K, V> reverseMap, BidiMap<K, V> inverseMap],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,createEntrySetIterator,[final Iterator<Map.Entry<K, V>> iterator],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,createKeySetIterator,[final Iterator<K> iterator],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,createValuesIterator,[final Iterator<V> iterator],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,entrySet,[],2
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,equals,[final Object obj],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,get,[final Object key],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,getKey,[final Object value],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,hashCode,[],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,inverseBidiMap,[],2
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,isEmpty,[],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,keySet,[],2
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,mapIterator,[],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,put,[final K key, final V value],3
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,putAll,[final Map<? extends K, ? extends V> map],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,remove,[final Object key],2
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,removeValue,[final Object value],2
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,size,[],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,toString,[],1
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,values,[],2
org.apache.commons.collections4.bidimap,AbstractOrderedBidiMapDecorator,decorated,[],1
org.apache.commons.collections4.bidimap,AbstractOrderedBidiMapDecorator,firstKey,[],1
org.apache.commons.collections4.bidimap,AbstractOrderedBidiMapDecorator,inverseBidiMap,[],1
org.apache.commons.collections4.bidimap,AbstractOrderedBidiMapDecorator,lastKey,[],1
